student,dominant_hand_s,weak_hand_s
1,8.5,16.5
2,8,14.2
3,8.8,21.5
4,8.5,15.4
5,8.1,18.6
6,9.5,18.9
7,9,16.5
8,9.3,16.7
9,9.5,17.5
10,7.9,11.2
11,8.4,14.5
12,8.5,11.5
13,8,12.5
14,8,12.7
15,8,13.5
16,8,11.6
17,8,14.5
18,6,15.9
19,2,14.7
20,10,13.5
21,11.2,17.8
22,8.1,10.5
23,8.2,16.8
24,9,18.5
25,9.3,19.2
26,8.7,18.9
27,8.5,16.5
28,8.8,16.7
29,10.1,21.5
30,9.5,20.5
31,9.4,19.6
32,9.7,17.8
33,8.5,14.2
34,7.9,13.9
35,10.5,19.9
36,10.9,18.5
37,8.6,10.8
38,8.7,15.9
39,8.9,17.8
40,10.5,15.6
41,9.5,16.5
42,9.8,17.5
43,9.8,16.8
44,9.8,16.8
45,10.1,15.9
46,8.5,16.9
47,8.7,16.4
48,8.8,15.7
49,8.8,14.8
50,8.9,15.8
51,8.5,14.5
52,8.6,16
53,9.5,17
54,9.4,15.9
55,9.8,14.5
56,9.8,16.4
57,9.9,16.8
58,8.8,16.7
59,9.6,13.2
60,9.3,16
61,10.1,21
62,9.9,16.5
63,9.8,15.9
64,9.8,15.8
65,9.8,14.7
66,10.2,17.2
67,8.5,16.5
68,8.7,16.4
69,8.8,15.4
70,8.8,15.3
71,8.9,15.8
72,8.5,16.1
73,8,16.2
74,8.5,16.7
75,8.5,16.7
76,8.1,16.9
77,9.5,16.5
78,9,18.4
79,9.3,15.9
80,9.5,19.2
81,7.9,14
82,8.4,20
83,8.5,17.4
84,8.8,16.3
85,11.2,18.1
86,13.5,19.7
87,14,17.8
88,6.8,13.5
89,7.2,15
90,8.8,16.1
91,9.6,16.8
92,13.5,18.4
93,11.2,19.2
94,7.5,16.3
95,7.6,16.8
96,8.1,15
